,result,table,_start,_stop,_time,_value,_field,_measurement,device_type,location,sensor_id,source
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:12:00Z,34.75,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:15:00Z,32.875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:18:00Z,33.76470588235294,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:21:00Z,34.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:24:00Z,34.88235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:27:00Z,33.8125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:30:00Z,33.25,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:33:00Z,33.76470588235294,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:36:00Z,32.625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:39:00Z,33.8125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:42:00Z,31.705882352941178,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:45:00Z,32.5625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:48:00Z,32.4375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:51:00Z,31.41176470588235,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:54:00Z,31.0625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:57:00Z,29,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:00:00Z,28.294117647058822,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:03:00Z,32.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:06:00Z,28.0625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:09:00Z,26.88235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:12:00Z,26.75,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:15:00Z,26.5,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:18:00Z,25.823529411764707,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:21:00Z,26,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:24:00Z,29.764705882352942,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:27:00Z,28.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:30:00Z,27.5,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:33:00Z,27.11764705882353,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:36:00Z,28.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:39:00Z,26.4375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:42:00Z,25.470588235294116,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:45:00Z,26,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:48:00Z,27,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:51:00Z,27.058823529411764,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:54:00Z,25.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T05:57:00Z,28.5,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
